Office,Pincode
"A F Station Yelahanka",560063
Adugodi,560030
Agara,560034
Agram,560007
"Air Force Hospital",560007
"Anandnagar Bangalore",560024
Anekal,562106
Anjanapura,560108
"Arabic College",560045
"Ashoknagar Bangalore",560050
Attibele,562107
Attur,560064
"Austin Town",560047
Avathi,562164
"B Sk II Stage",560070
"BSF Campus Yelahanka",560063
Bagalgunte,560073
"Bagalur Bangalore",562149
"Banashankari III Stage",560085
Banashankari,560050
Banaswadi,560043
Bandikodigehalli,562149
"Bangalore Bazaar",560001
"Bangalore City",560002
"Bangalore Corporation Building",560002
"Bangalore Dist Offices Bldg",560009
"Bangalore G P O",560001
"Bangalore International Airport",560300
"Bangalore Sub Foreign Post",560025
"Bannerghatta Road",560076
Bannerghatta,560083
Bapagrama,560091
Basavanagudi,560004
Basaveshwaranagar,560079
Begur,560068
Bellandur,560103
"Benson Town",560046
Bestamaranahalli,562106
Bettahalsur,562157
Bhattarahalli,560049
Bidaraguppe,562107
Bidrahalli,560049
"Bnagalore Viswavidalaya",560056
Bolare,560082
"Bommanahalli Bangalore",560068
"Bommasandra Industrial Estate",560099
Byagadadenahalli,562106
Byatarayanapura,560092
"C V Raman Nagar",560093
"CMM Court Complex",560001
"CMP Centre And School",560025
"CRPF Campus Yelahanka",560064
Carmelram,560035
Chamarajasagara,562120
"Chamrajpet Bangalore",560018
Chandapura,560081
Chandapura,560099
"Chandra Lay Out",560040
Chickpet,560053
Chikkabidarkal,560073
Chikkajala,562157
Chikkalasandra,560061
Chikkanahalli,562130
Chudenapura,560060
Chunchanakuppe,562130
Dasanapura,562162
"Dasarahalli Srinagar",560050
Deepanjalinagar,560026
Devanagundi,560067
Devasandra,560036
"Dharmaram College",560029
Doddagubbi,560077
Doddajala,562157
Doddakallasandra,560062
Doddanekkundi,560037
Domlur,560071
Dommasandra,562125
Doorvaninagar,560016
"Dr Ambedkar Veedhi",560001
"Dr Shivarama Karanth Nagar",560077
EPIP,560066
"Electronics City",560100
"Fraser Town",560005
"G K V K",560065
"Gaviopuram Extension",560019
Gayathrinagar,560021
"Girinagar Bangalore",560085
Gottigere,560083
"Governmemnt Electric Factory",560026
Guddanahalli,562106
Gunjur,560087
"H A Farm",560024
"H A L II Stage",560008
"H K P Road",560051
"HSR Layout",560102
Hampinagar,560104
Handenahalli,562125
Haragadde,560105
"Hebbal Kempapura",560024
Hennagara,560105
Herohalli,560091
HighCourt,560001
Hoodi,560048
Horamavu,560043
Hulimangala,560105
Hulimavu,560076
"Hulsur Bazaar",560008
Hunasamaranahalli,562157
"ISRO Anthariksha Bhavan",560094
Indalavadi,562106
"Indiranagar Bangalore",560038
"Industrial Estate Bangalore",560010
"J C Nagar",560006
"J P Nagar",560078
"JP Nagar III Phase",560078
"JP Nagar VIII phase",560076
Jakkur,560064
"Jalahalli East",560014
"Jalahalli West",560015
Jalahalli,560013
Jalavayuvihar,560043
"Jayamahal Road",560046
"Jayanagar West",560070
Jayanagar,560041
"Jayangar III Block",560011
Jeevanbhimanagar,560075
Jigani,560105
"K G Road",560009
"K H B Colony",560079
Kadabagere,562130
"Kadugodi Extention SO",560067
Kadugodi,560067
Kallubalu,560105
Kalyananagar,560043
Kamakshipalya,560079
Kannamangala,560067
Kannur,562149
Kathriguppe,560085
Kodigehalli,560092
Kodigehalli,560112
Konanakunte,560062
"Koramangala I Block",560034
"Koramangala VI Bk",560095
Koramangala,560034
Kothanur,560077
"Krishnarajapuram R S",560016
Krishnarajapuram,560036
Kugur,562125
"Kumaraswamy Layout",560078
Kumbalagodu,560074
"Kumbalgodu Gollahalli",560074
Kundalahalli,560037
Laggere,560058
"Legislators Home",560001
Lingarajapuram,560084
Madanayakanahalli,562162
"Madhavan Park",560011
Madivala,560068
"Magadi Road",560023
Mahadevapura,560048
"Mahalakshmipuram Layout",560086
"Mahatma Gandhi Road",560001
Mallathahalli,560056
"Malleswaram West",560055
Malleswaram,560003
"Marathahalli Colony",560037
Marsur,562106
"Maruthi Sevanagar",560033
Mathikere,560054
Mavalli,560004
Mayasandra,562107
Medimallasandra,560067
"Mico Layout",560076
"Mount St Joseph",560076
Msrit,560054
Mundur,560049
"Museum Road",560025
Muthanallur,560099
Muthusandra,560087
NAL,560017
Nagarbhavi,560072
"Nagasandra Bangalore",560073
Nandinilayout,560096
Nayandahalli,560039
Nelakadiranahalli,560073
Neralur,562107
Neriga,562125
"New Thippasandra",560075
"P&T Col Kavalbyrasandra",560032
Padmanabhnagar,560070
"Palace Guttahalli",560003
"Pampamahakavi Road",560004
Panathur,560103
"Peenya Dasarahalli",560057
"Peenya I Stage",560058
"Peenya Small Industries",560058
"R M V Extension II Stage",560094
"R T Nagar",560032
Ragihalli,560083
"Rajajinagar IVth Block",560010
